investor,investee,mount,pre_investor,pre_investee,pre_mount,sentence
1,1,1,1,1,1,2017年3月22日消息，印度全渠道支付平台Airpay宣布获得376万美元A轮融资，本次交易的领投方为KalaariCapital，早期投资人RakeshJhunjhunwala以及RajeshJhunjhunwala均参与了本轮融资
0,1,0,0,1,0,据创投时报了解，Airpay计划利用本轮资金提升技术研发能力，建设销售以及配送团队，同时提升基础设施从而快速拓展企业客户
1,0,0,0,1,0,谈及本轮融资，KalaariCapital总裁RajeshRaju表示
0,1,0,0,0,0,对于印度支付领域而言，渠道以及工具的结合是非常复杂的，需要一套创新性的一站式解决方案，而Airpay所提供的解决方案就具备这样的特点
0,1,0,0,1,0,由于Airpay有能力将印度推进到一个无现金经济的时代，我们非常高兴能够与他们达成合作
0,1,0,0,0,0,据创投时报项目库数据显示，Airpay由KunalJhunjhunwala、AmitKapoor以及RohanDeshpande于2012年联合创办，总部位于印度孟买，是一家全渠道支付公司，为企业客户提供SaaS解决方案，既能够接受消费者C2B的付款，也能够处理对外B2B的结算问题
0,1,0,0,1,0,Airpay联合创始人RakeshJhunjhunwala表示
0,1,0,0,1,0,令人兴奋的是，在过去一年里Airpay的业绩增长了14倍
1,1,0,0,1,0,我们非常欢迎KalaariCapital成为我们战略投资者，他们的加入能够进一步提升Airpay的价值
0,1,0,0,1,0,据悉，Airpay的平台能够允许企业通过100多种金融工具网站、手机、呼叫中心、IVR、电子邮件、SMS以及面对面支付等接收客户的付款
0,1,0,0,1,0,同时，Airpay的平台适用于酒店、教育、银行以及零售业等众多领域
,,,,,,;;;;;;;;;;
1,1,1,1,1,0,据外媒报道，总部位于班加罗尔的网上家具品牌UrbanLadder从现有投资者包括SAIFPartners、KalaariCapital、SequoiaIndia和SteadviewCapital那里获得新融资10.2亿印度卢比约合1520万美元
1,0,0,1,1,0,Kalaari和SAIF各投资约450万美元，而Steadview投入了接近400万美元
1,0,0,0,1,0,Sequoia在本轮投资约200万美元
0,0,0,0,0,0,该公司拒绝对此发表评论
0,1,0,0,1,1,早前，UrbanLadder公司获得了5000万美元的融资，在2015年4月由红杉资本和香港的TR资本共同领投
1,0,0,0,1,0,在2014年，它获得了SteadviewCapital领投的2000万美元B轮融资
0,0,0,0,0,0,此外，它在先前还获得过两轮融资——2013年11月500万美元，2012年8月来自Kalaari的100万美元
0,1,0,0,0,0,另外，RatanTata也是UrbanLadder公司的投资者
0,1,0,0,1,0,UrbanLadder由AshishGoel首席执行官和RajivSrivatsa首席运营官于2012年7月创立，它是一家网上家具和家居装饰公司
0,1,0,0,0,0,UrbanLadder声称它拥有4000多种产品，囊括35个类别，如衣柜，沙发，床，餐桌，储物架等
0,1,0,0,0,0,这些家具均由UrbanLadder经验丰富的内部设计师团队策划和设计
0,0,0,0,0,0,目前，该公司能够将家具配送至印度的12个城市班加罗尔、孟买、德里、金奈、普纳、海得拉巴、科钦、艾哈迈达巴德、昌迪加尔、苏拉特、加尔各答和芒格洛尔
,,,,,,;;;;;;;;;;
0,1,1,0,1,0,Affordplan是一家位于德里的金融科技初创公司，致力于医疗保健行业，该公司宣布获2亿卢比300万美元A轮融资
1,0,0,1,0,0,本轮融资由在PrimeVenturePartners领投，KalaariCapital参投
0,1,0,0,1,0,Affordplan致力于帮助医院改善其医疗服务水平，提高患者的经济承受能力
0,0,0,0,0,0,该初创公司将利用这笔资金扩大现有团队的规模，构建网络并将业务范围扩展到新的城市
0,1,0,0,0,0,TejbirSingh和HemalBhatt于去年12月创立了Affordplan公司
0,0,0,0,0,0,该公司旨在让非紧急医疗服务变得更普及，价格更亲民
0,0,0,0,0,0,它使医院能够为患者提供量身定制的解决方案，使患者能为即将到来的就医流程制定计划、存钱和付款
0,1,0,0,0,0,通过这种方式，Affordplan能让医院预计自己接下来的现金流入
0,0,0,0,0,0,这使得医院能无间断地开出治疗处方，并且还减少由于现金流问题而拒绝对患者进行治疗这种事情的发生
0,1,0,0,0,0,Affordplan允许消费者根据他们的实际情况选择不同还款计划，决定每天、每周或每月的还款金额，然后在方便时定期付款
0,0,0,0,0,0,他们可以通过在线支付的方式，比如使用去医院就诊时存在医院账户里的备用款，或直接在家中进行支付
0,0,0,0,0,0,该初创公司声称其解决方案非常适合非紧急就医行为，因为这样患者可以提前进行计划，如怀孕、眼睛护理、牙科、整形外科、骨科和肥胖治疗这些就医项目或者就医行为都可以提前计划
0,1,0,0,0,0,此外，消费者在使用Affordplan服务时，还可享有医疗费用和诊断服务上的折扣，这样整体治疗费用可以降低15％到20％
0,0,0,0,0,0,公司现在计划推出一款移动应用，该应用程序具有医院接口以及患者接口
0,0,0,0,0,0,在过去一年中，该公司已经在几家医院拥有数百名用户
0,1,0,0,1,0,Affordplan目前在Delhi和NCR地区发展业务，并计划在未来一年内将业务范围扩展到其他三个城市
0,0,0,0,0,0,早在2016年年初，该初创公司筹集到3亿卢比资金的时候，就入选为KStart首批孵化项目
,,,,,,;;;;;;;;;;
0,1,0,0,0,0,印度内衣电商狂吸金Zivame获巨额B轮融资2015-09-0710
0,1,0,0,0,0,印度内衣电商狂吸金Zivame获巨额B轮融资
1,1,0,1,0,0,亿邦动力网讯9月7日消息，马来西亚主权基金国库控股公司KhazanahNasionalBerhad最近投资了印度内衣电商Zivame
0,1,0,0,0,0,Zivame网站
0,1,0,0,0,0,据印度媒体报道，Zivame成立于2011年，总部位于班加罗尔，主要目标是解决印度女性羞于从实体店购买内衣的问题
1,0,1,0,0,0,其刚刚获得25亿卢比约合1.62亿马币或2.38亿人民币的融资，领投方为马来西亚国库控股公司和ZodiusTechnologyFund，
0,0,0,0,0,0,原有投资人也参与其中，包括本土风投公司KalaariCapital、Unilazer及美国风投IDG
0,1,0,0,0,0,而此前，Zivame曾从IDG、KalaariCapital和UnilazerVentures获得900万美元的A轮投资
0,0,0,0,0,0,据印度媒体报道，这是马来西亚控股公司在印度电商市场的第一次投资
0,0,0,0,0,0,这是在印度科技和消费领域的一次尝试
0,0,0,0,0,0,以前我们在印度科技领域的投资效果都不错
1,0,0,0,0,0,Khazanah的一位发言人向马来西亚媒体表示
0,0,0,0,0,0,由于今年1月，马来西亚政府曾发出通告令国有公司和机构远离海外投资，马来西亚控股公司强调其重心还是放在国内
0,0,0,0,0,0,与此同时，我们也在马来西亚国内进行多个投资项目，那是我们的主要角色
0,0,0,0,0,0,该发言人补充道
0,0,0,0,0,0,有印度媒体指出，印度女性还是羞于购买内衣
0,0,0,0,0,0,此外，印度的许多内衣实体店商品种类很有限，且多使用男店员
0,0,0,0,0,0,这便给内衣电商创造了机会
0,1,0,0,1,0,亿邦动力网获悉，Zivame网站上有超过500种商品，尺码齐全，平均每分钟就能卖出一个文胸
0,1,0,0,1,0,我相信，Zivame将成为印度女性内衣购买的主要去处
0,0,0,0,0,0,联合创始人兼首席执行官RichaKar在一次访问中曾表示
0,0,0,0,1,0,Richa透露，融资将会被用于扩大经营，吸引更多网购者，强化商品优势，发展核心技术
0,1,0,0,1,0,Zivame方面最近宣布将推出购物APP，因为目前其60%的流量都来自移动设备
0,0,0,0,0,0,据了解，Richa还曾指出，计划接下来的两年来在印度国内开设100家门店，只用来试衣，而不直接卖货
0,0,0,0,0,0,我们的体验店目标是增加与消费者的互动，消费者可以在店内获得个人化服务，测量自己的尺码，了解他们适合什么样的风格
0,0,0,0,0,0,她说，店内不会直接卖货
0,0,0,0,0,0,当然，消费者选择好后，可以在网上下单
0,0,0,0,0,0,此外，马来西亚控股公司方面表示
0,1,0,0,0,0,我们重点是帮助Zivame建立起自己的‘机制能力’
0,0,0,0,0,0,亿邦动力网了解到，近来，印度内衣市场颇为红火
0,0,0,0,1,0,6月，Clovia刚刚从苏黎世投资公司MountainPartners获得A轮融资
0,0,0,0,0,0,另外，PrettySecrets从投资公司OriosVenturePartners、IndianAngelNetwork和IndiaQuotient获A轮投资
0,0,0,0,0,0,据了解，领投方之一马来西亚国库控股公司还曾投资阿里巴巴
0,0,0,0,0,0,在阿里巴巴IPO之前的近两年里，其分两批向阿里巴巴共投资了4亿美元，占其股份的0.4%
0,0,0,0,0,0,在阿里巴巴上市之后，其卖出了部分股份，获利逾10亿美元
0,0,0,0,0,0,此外，它还持有马来西亚航69.4%的股份
1,0,0,0,0,0,另一领投方ZodiusTechnologyFund也是印度著名风投公司，今年7月底，刚刚和高盛联合领投了印度的家居电商Pepperfry.com
,,,,,,;;;;;;;;;;
1,1,1,1,1,0,新浪科技讯北京时间9月28日早间消息，软银愿景基金计划向房屋在线交易平台Opendoor投资4亿美元，后者的旗舰服务可以使用房屋价格算法向卖家提供快速、全现金的买卖服务，同时为简化销售流程收取部分费用
0,1,0,0,0,1,据一位要求匿名的知情人士透露，新一轮投资中Opendoor估值超过20亿美元
0,1,0,0,1,1,Opendoor目前已经获得超过10亿美元的股权融资和20多亿美元的债券融资，已有的投资者包括GeneralAtlanticLLC、AccessTechnologyVentures和房屋建筑商LennarCorp
0,1,0,0,1,0,买卖房产是生活中的一件大事，Opendoor的首席执行官EricWu说，那么在你找到梦想之家的时候，我们该如何去做，来帮助你只需点击记下鼠标就可以完成一切手续
0,0,0,0,0,0,这就是我们前进的方向
0,1,0,0,1,0,Opendoor计划使用这笔资金来增加新功能并向新的区域发展
0,0,0,0,1,0,公司本月初的时候曾宣布收购房屋搜索网站OpenListings，同时有计划推出住房贷款和其他服务
0,1,0,0,1,0,目前，Opendoor在19个美国大都市区运营
0,1,0,0,1,0,Opendoor当前的主要服务是鼓励卖家上传自己房屋的基本信息，然后在24小时内给出现金报价
0,1,0,0,1,0,如果卖家接受，Opendoor将对房屋做一些修缮，而后在网站上挂牌出售
0,1,0,0,1,0,Opendoor收取的费用稍高于传统房产中介收取的价格，但速度和便捷都是传统房产中介所不能及的
0,0,0,0,0,0,这种操作模式需要大量资金同时风险极大，因此也就十分需要数据科学家开发一套定价算法和承包商，以便准备房屋的转售工作
0,0,0,0,0,0,到目前为止，房价上涨多多少少推动了公司发展，使得公司买房相对容易，也可以在数个月后以高价出手房屋
0,0,0,0,0,0,这种模式有点类似于炒房
0,0,0,0,0,0,当年发生房市止赎危机时市场随之崩溃，也是炒房让多数投资者血本无归
0,0,0,0,0,0,Wu表示，公司的定位是在走下坡的房市中取得成功，因为在买家稀缺的市场上，快速报价的确定性有更大的价值
0,1,0,0,0,0,他还说，与需要预测多年需求的房地产建筑商不同，Opendoor旨在数月内出手房屋，这样一来预测房价也相对简单
0,1,0,0,1,0,Opendoor成立于2014年，总部位于旧金山
0,1,0,0,0,0,自Opendoor之后，Perch和Offerpad等创业公司以及上市房地产公司ZillowGroup和RedfinCorp等相继模仿Opendoor的模式
0,0,0,1,0,0,周二，RealogyHoldingsCorp亦宣布借合同向通过旗下的ColdwellBanker中介公司出售房屋的卖家提供现金报价服务
0,1,0,0,0,0,在Opendoor上征询报价的卖家中，50%最后会接受Opendoor提供的报价，平均支付6.5%的服务费
0,1,0,0,0,0,本地房市数据CromfordReport的出版商MichaelOrr发布的7月数据显示，在凤凰城地区，机构买家如Opendoor等占到4.5%的房屋购买量，3.8%的房屋销售量，其中不包括新房和某些不良销售
0,0,0,0,0,0,图尔
,,,,,,;;;;;;;;;;
1,0,1,0,0,1,软银将会以可转换票据的形式再次向公司投资10亿美元
0,1,0,0,0,0,北京时间8月10日早间消息，美国共享办公企业WeWork本周四公布了上半年业绩
1,0,1,0,0,0,它在报告中透露，软银将会以可转换票据的形式再次向公司投资10亿美元
0,1,0,0,1,0,WeWork总裁、CFO阿蒂·明森ArtieMinson指出，公司的销售额正在攀升，而且每张工位的平均建设成本也在下降
0,0,0,0,0,0,他说
0,0,0,0,0,0,所有迹象都表明，我们有信心以更快的速度增长，大机构对我们的股权权益很有兴趣
1,1,1,0,0,0,如果下一次融资时来自其他投资者的资金达到10亿美元，或者WeWork上市，软银的债务就能转化为股权权益
1,0,0,0,0,0,具体每股价格如何，由融资领投者决定，它可能是软银，也可能是其他投资者
1,0,0,0,0,0,如果其它公司成为主要投资者，软银获得的每股价格最低可达110美元，相当于公司估值达到420亿美元
0,1,0,0,0,0,从今年开始，WeWork以非正式方式公开一些财务信息，包括去年的和今年一季度的一些数据
0,1,0,0,0,0,WeWork今年也公布了其它一些财务信息，当时公司曾发售7.02亿美元债券，但信用机构将这些债券评为垃圾债券
0,1,0,0,0,0,在公布发行债券有关信息时，WeWork表示，去年公司亏损9.33亿美元，销售额达到8.86亿美元
0,0,0,0,0,0,今年上半年，公司亏损7.23亿美元，营收7.64亿美元
0,1,0,0,1,0,WeWork预计未来12个月营收至少达到18亿美元
0,1,0,0,1,0,截止6月30日，WeWork有现金19亿美元
1,0,0,0,0,0,截至目前，该公司已融资约50亿美元，分别是去年夏天向软银融资，以及今年年初为中国子业务融资
0,1,0,0,1,0,在最近的一次融资中，WeWork估值已经达到200亿美元
1,1,0,0,1,0,今年6月一名软银高管说，WeWork曾想以350亿美元的估值融入更多资金
0,1,0,0,1,0,WeWork已收购两家小型总承包公司，一家位于纽约，一家位于伦敦，之所以收购主要是因为公司想靠自己完成更多的设计、施工工作，不用依赖外部企业
,,,,,,;;;;;;;;;;
1,1,1,0,0,0,新浪科技讯北京时间8月8日上午消息，据彭博社报道，知情人士透露，软银计划向机器人匹萨制作公司Zume投资5亿至7.5亿美元
0,1,0,0,1,0,Zume拥有一项外卖卡车专利，可以在前往客户家的路上制作匹萨
0,0,0,0,0,0,卡车上配有机器人和烤炉，可以按照需求通过远程云端信号进行制作
0,1,0,0,0,0,尽管法律禁止流动餐车在驾驶的时候制作食物，但这项技术让Zume可以合法运营
0,1,0,0,0,0,除了配送匹萨外，Zume还开发了一项技术来管理易腐品的供应链物流，并且希望与其他企业合作为用户提供刚刚烹饪完成的食品
1,0,0,1,0,0,这项投资也反映了软银旗下愿景基金VisionFund在外卖领域的野心
0,0,0,0,0,0,该公司今年早些时候领投了外卖应用DoorDash5.35亿美元的融资
1,0,0,0,0,0,软银还持有Uber15%的股份，后者同样推出了最后一公里外卖业务UberEats，而且增长迅速
0,0,0,0,0,0,UberCEO达拉·科斯罗萨西DaraKhosrowshahi透露外卖已经为其贡献10%的营收
0,1,0,0,0,0,Zume的匹萨配送业务目前仅在山景城通过3辆卡车部署，但该公司还计划与UberEats和DoorDash等外卖公司展开合作
,,,,,,;;;;;;;;;;
0,0,0,0,0,0,目前公司估值已经超过10亿美元，已经跻身到独角兽俱乐部
0,0,0,0,0,0,据外媒消息，鸵鸟创投媒体微信
1,0,0,1,0,1,wechuangye了解到，在抓住了电子商务和共享驾乘两个热门行业风口之后，软银集团旗下1000亿美元规模的投资基金——软银愿景基金SoftBankVisionFund正在把目光盯向食品科技领域
1,1,1,1,0,0,软银愿景基金正计划对食品科技巨头Zomato投资5亿美元
0,0,0,0,0,0,鸵鸟创投媒体微信
0,1,0,0,0,0,wechuangye还了解到，事实上，食品物流速递服务细分市场只有少数玩家能够坚持至今，其中就包括Swiggy、Zomato、打车应用巨头Ola旗下的Foodpanda和UberEats
0,0,0,0,0,0,由于争夺市场份额竞争激烈，这些行业巨头希望进一步募集更多资金来巩固自己的市场地位
0,1,1,0,1,0,Zomato成立于2008年，今年二月刚刚获得了阿里巴巴集团高达1.5亿美元的投资，目前公司估值已经超过10亿美元，已经跻身到独角兽俱乐部
0,1,0,0,1,0,此外，阿里巴巴旗下的支付服务蚂蚁金服也将会收购Zomato价值5000万美元的股份
0,1,0,0,1,0,Zomato目前在全球24个国家提供服务，并且还在积极寻求加强其在东南亚、印度和新西兰、澳大利亚等海外市场的业务扩张
,,,,,,;;;;;;;;;;
0,0,0,0,0,0,BI中文站7月18日报道
1,0,0,0,0,0,也许你无法想象，一款售价2000美元的专业相机与自动驾驶汽车之间有什么关系，但软银首席执行官孙正义却做到了
1,1,1,1,1,0,最近这家总部位于帕洛阿尔托名叫Light的初创公司刚刚从软银的愿景基金那里获得了1.21亿美元投资
0,1,0,0,1,0,孙正义表示，希望Light公司能够有更远大的目标，而不仅仅是为摄影爱好者开发相机或智能手机摄像头
0,1,0,0,1,0,他希望将Light公司的计算成像能力视作一种可以支撑自动驾驶汽车视觉系统的技术，甚至可以取代今天大部分自动驾驶汽车所用的激光雷达LIDAR技术
0,0,0,0,1,0,当我们第一次在东京见到孙正义时，他就表示喜欢我们的技术
0,0,0,0,0,0,他一直在推动我们的发展，并且你知道，他很善于寻找某种技术未来最具有变革性的方式
0,1,0,0,1,0,Light首席执行官大卫-格朗南DavidGrannan表示
0,0,0,0,1,0,他喜欢我们的被动光学系统，认为不仅可以使用在普通的相机上，还包括了激光雷达，并且可以解决当前激光雷达面临的很多问题
0,0,0,0,0,0,格朗南表示
